record_id,store_name,date,item_name,department,price,on_sale,sale_amount,final_price
1,MARKET 32,03/27/25,Tomato on the Vine,Produce,1.79,0,0,1.79
2,MARKET 32,03/27/25,Onions,Produce,0.81,0,0,0.81
3,MARKET 32,03/27/25,Lettuce,Produce,1.99,0,0,1.99
4,MARKET 32,03/27/25,Ground Turkey,Meat,13.99,0,0,13.99
5,MARKET 32,03/27/25,Cracked Pepper Turkey,Meat,11.32,0,0,11.32
6,MARKET 32,03/27/25,American Cheese,Dairy,5.93,0,0,5.93
7,WALMART,03/21/25,Grape Soda,Beverages,1,0,0,1
8,WALMART,03/21/25,Cream Soda,Beverages,1,0,0,1
9,WALMART,03/21/25,Potatoes,Produce,2.98,0,0,2.98
10,WALMART,03/21/25,Mayonnaise,Condiments,3.98,0,0,3.98
11,WALMART,03/21/25,Sweet Relish,Condiments,1.68,0,0,1.68
12,WALMART,03/21/25,Vegetable Oil,Pantry,3.97,0,0,3.97
13,WALMART,03/21/25,Cooking Spray,Pantry,2.52,0,0,2.52
14,WALMART,03/21/25,Colombian Coffee,Pantry,4.44,0,0,4.44
15,WALMART,03/21/25,Toilet Cleaner,Household,2.68,0,0,2.68
16,WALMART,03/21/25,Banana Bread Mix,Baking,2.64,0,0,2.64
17,WALMART,03/21/25,Spaghetti,Pantry,2.18,0,0,2.18
18,WALMART,03/21/25,Wax Melt,Household,1.1,0,0,1.1
19,WALMART,03/21/25,Candle Melt,Household,1.1,0,0,1.1
20,WALMART,03/21/25,Candle Melt,Household,1.1,0,0,1.1
21,WALMART,03/21/25,Wax Melt,Household,2.33,0,0,2.33
22,WALMART,03/21/25,Sugar,Sugar,4.34,0,0,4.34
23,WALMART,03/21/25,Mozzarella Cheese,Dairy,3.74,0,0,3.74
24,WALMART,03/21/25,Jimmy Dean Premium Applewood Bacon,Meat,5.48,0,0,5.48
25,WALMART,03/21/25,Turkey Sausage,Meat,3.23,0,0,3.23
26,WALMART,03/21/25,Fish Fry Seasoning,Seasoning,1.88,0,0,1.88
27,WALMART,03/21/25,Eggs,Eggs,5.63,0,0,5.63
28,WALMART,03/21/25,Organic Salad,Produce,2.98,0,0,2.98
29,WALMART,03/21/25,Coffee Filters,Pantry,1.86,0,0,1.86
30,WALMART,03/21/25,Bagels,Bread,2.46,0,0,2.46
31,WALMART,03/21/25,Bagels,Bread,2.46,0,0,2.46
32,WALMART,03/21/25,Trash Bags,Household,1.68,0,0,1.68
33,WALMART,03/21/25,Trash Bags,Household,1.68,0,0,1.68
34,WALMART,03/21/25,Freezer Bags,Household,1.98,0,0,1.98
35,WALMART,03/21/25,Great Value Everyday Paper Towels,Household,2.38,0,0,2.38
36,WALMART,03/21/25,Hair Catcher,Household,3.96,0,0,3.96
37,WALMART,03/21/25,Coconut Oil,Household,0.97,0,0,0.97
38,WALMART,03/21/25,Coconut Oil,Household,0.97,0,0,0.97
39,WALMART,03/21/25,Hair Lotion,Household,5.98,0,0,5.98
40,WALMART,03/21/25,Pizza Puffs,Snacks,3.33,0,0,3.33
41,WALMART,03/21/25,Limes,Produce,1,0,0,1
42,WALMART,03/21/25,Olive Oil,Pantry,5.94,0,0,5.94
43,WALMART,03/21/25,Bath Caddy,Household,2.97,0,0,2.97
44,DOLLAR GENERAL,03/29/25,Canada Dry Soda,Beverages,2.95,1,-0.44,2.51
45,DOLLAR GENERAL,03/29/25,Lipton Brisk Tea,Beverages,3,1,-0.44,2.56
46,DOLLAR GENERAL,03/29/25,Sunkist Soda,Beverages,2.05,1,-0.3,1.75
47,DOLLAR GENERAL,03/29/25,Lysol Power Foam,Household,2.9,1,-0.58,2.32
