store_name,date,item_name,department,price,on_sale,sale_amount,final_price
DOLLAR GENERAL,03/29/25,Canada Dry,Beverage,2.95,1,-0.44,2.51
DOLLAR GENERAL,03/29/25,Bottle Deposit Fee,NONE,0.05,0,0.00,0.05
DOLLAR GENERAL,03/29/25,Lipton Brisk Tea,Beverage,3.00,1,-0.44,2.56
DOLLAR GENERAL,03/29/25,Sunkist Grape Soda,Beverage,2.05,1,-0.30,1.75
DOLLAR GENERAL,03/29/25,Bottle Deposit Fee,NONE,0.05,0,0.00,0.05
DOLLAR GENERAL,03/29/25,Lysol Power Foam,Household,2.90,1,-0.58,2.32
DOLLAR GENERAL,03/29/25,Arm and Hammer Clear Water Body Wash,Household,1.00,1,-0.15,0.85
DOLLAR GENERAL,03/29/25,Arm and Hammer Simply Fresh Body Wash,Household,1.00,1,-0.15,0.85
DOLLAR GENERAL,03/29/25,Arm and Hammer Clear Water Body Wash,Household,1.00,1,-0.15,0.85
DOLLAR GENERAL,03/29/25,Cotton Candy,Snacks,1.00,1,-0.15,0.85
DOLLAR GENERAL,03/29/25,Solar Panel Lights,Home Decor,5.00,1,-0.74,4.26
DOLLAR GENERAL,03/29/25,Mini Oreos,Snacks,2.95,1,-0.44,2.51
DOLLAR GENERAL,03/29/25,Now and Later,Snacks,2.75,1,-0.41,2.34
DOLLAR GENERAL,03/29/25,Cleaning Wipes,Household,1.00,1,-0.15,0.85
DOLLAR GENERAL,03/29/25,Stainless Steel Scrubber,Household,1.00,1,-0.15,0.85
DOLLAR GENERAL,03/29/25,Edge Hair Brush,Household,2.00,1,-0.30,1.70
DOLLAR GENERAL,03/29/25,Goobers,Snacks,1.00,1,-0.15,0.85
DOLLAR GENERAL,03/29/25,Sweet Tarts,Snacks,1.00,1,-0.15,0.85
DOLLAR GENERAL,03/29/25,Sweet Tarts,Snacks,2.00,1,-0.15,1.85
DOLLAR GENERAL,03/29/25,Budweiser,Alcohol,2.55,0,0.00,2.55
DOLLAR GENERAL,03/29/25,Bottle Deposit Fee,NONE,0.05,0,0.00,0.05
