store_name,date,item_name,department,price,on_sale,sale_amount,final_price,Receipt ID
WALMART,4/18/2025,Ammonia,Household,1.98,0,0,1.98,https://www.walmart.com/receipt-details?sbt=1
WALMART,4/18/2025,Mango Green Tea,Beverages,1.97,0,0,1.97,
WALMART,4/18/2025,Iced Tea,Beverages,2.48,0,0,2.48,
WALMART,4/18/2025,Whole Milk,Dairy,4.72,0,0,4.72,
WALMART,4/18/2025,Beverage,Beverages,1.26,0,0,1.26,
WALMART,4/18/2025,Vegetable Oil,Oil,3.97,0,0,3.97,
WALMART,4/18/2025,Bar Keepers Friend,Household,2.72,0,0,2.72,
WALMART,4/18/2025,Margarine,Dairy,3.58,0,0,3.58,
WALMART,4/18/2025,Beverage,Beverages,1.26,0,0,1.26,
WALMART,4/18/2025,Colombian Coffee,Household,4.44,0,0,4.44,
WALMART,4/18/2025,Chips Ahoy,Snacks,3.46,0,0,3.46,
WALMART,4/18/2025,Can Opener,Household,5.97,0,0,5.97,
WALMART,4/18/2025,Jello Pudding,Baking,1.48,0,0,1.48,
WALMART,4/18/2025,Jello Pudding,Baking,1.48,0,0,1.48,
WALMART,4/18/2025,Jello Pudding,Baking,1.48,0,0,1.48,
WALMART,4/18/2025,Cream Cheese,Dairy,2.98,0,0,2.98,
WALMART,4/18/2025,Baking Soda,Baking,0.92,0,0,0.92,
WALMART,4/18/2025,Baking Soda,Baking,0.92,0,0,0.92,
WALMART,4/18/2025,Jello Pudding,Baking,1.48,0,0,1.48,
WALMART,4/18/2025,Poppi Soda,Beverages,1,0,0,1,
WALMART,4/18/2025,Poppi Soda,Beverages,1,0,0,1,
WALMART,4/18/2025,Evaporated Milk,Dairy,1.34,0,0,1.34,
WALMART,4/18/2025,Poppi Soda,Beverages,1,0,0,1,
WALMART,4/18/2025,Poppi Soda,Beverages,1,0,0,1,
WALMART,4/18/2025,Poppi Soda,Beverages,1,0,0,1,
WALMART,4/18/2025,Poppi Soda,Beverages,1,0,0,1,
WALMART,4/18/2025,Evaporated Milk,Dairy,1.34,0,0,1.34,
WALMART,4/18/2025,Dutch Apple Pie,Frozen,6.97,0,0,6.97,
WALMART,4/18/2025,Crinkle Cut French Fries,Frozen,3.97,0,0,3.97,
WALMART,4/18/2025,Breyers Ice Cream,Snacks,3.87,0,0,3.87,
WALMART,4/18/2025,Garlic Cheese Bread,Frozen,2.68,0,0,2.68,
WALMART,4/18/2025,Pie Crust,Baking,1.26,0,0,1.26,
WALMART,4/18/2025,Pie Crust,Baking,1.26,0,0,1.26,
WALMART,4/18/2025,Pizza,Frozen,3.84,0,0,3.84,
WALMART,4/18/2025,Pizza,Frozen,3.84,0,0,3.84,
WALMART,4/18/2025,Chicken Parm Patties,Frozen,3.97,0,0,3.97,
WALMART,4/18/2025,Sugar,Baking,4.34,0,0,4.34,
WALMART,4/18/2025,Eggs,Eggs,5.63,0,0,5.63,
WALMART,4/18/2025,Italian Bread,Bread,1.47,0,0,1.47,
WALMART,4/18/2025,Vanilla Wafers,Snacks,2.83,0,0,2.83,
WALMART,4/18/2025,Plain Bagels,Bread,2.08,0,0,2.08,
WALMART,4/18/2025,Rolls,Bread,2.87,0,0,2.87,
WALMART,4/18/2025,Bread,Bread,2.98,0,0,2.98,
WALMART,4/18/2025,Donuts,Snacks,4.67,0,0,4.67,
WALMART,4/18/2025,Empty Spray Bottle,Household,1.98,0,0,1.98,
WALMART,4/18/2025,Drain Stick,Household,3.98,0,0,3.98,
WALMART,4/18/2025,Butter Popcorn,Snacks,2.08,0,0,2.08,
WALMART,4/18/2025,Earring Hoops,Other,2.66,0,0,2.66,
WALMART,4/18/2025,Mangos,Produce,2.14,0,0,2.14,
WALMART,4/18/2025,Bananas,Produce,0.78,0,0,0.78,
